Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Priority,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Description,Watchers,Watchers Id,Epic Link Summary,Custom field (Epic Name),Parent,Parent summary,Status Category
Load Product Subpage Test,CS-48,10065,Test case,Closed,CS,Cloth Shop,software,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Medium,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,09/May/23 2:58 PM,31/May/23 5:50 PM,27/Jun/23 4:45 PM,,"*Test objective:* To verify that the Product Subpage loads correctly

*Test steps:*

# Load the product subpage.
# Click on a product
# Wait for the Product Subpage to load completely.

*Expected result:* Product Subpage is displayed correctly",Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Subpage for Every Product,,10047,Subpage for Every Product,Done
Removing Product from Basket Test,CS-47,10064,Test case,FAILED,CS,Cloth Shop,software,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Medium,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,09/May/23 1:52 PM,14/May/23 2:28 PM,14/Sep/23 11:10 PM,,"*Test objective:* To verify if a product can be removed from the basket.

*Test steps:*

# Navigate to the product subpage.
# Click on the ""Add to Basket"" button.
# Navigate to the basket subpage.
# Click on the ""Trash"" button next to the added product.

*Expected result*: The product should be removed from the basket",Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Managing User Basket,,10042,Managing User Basket,In Progress
Adding Product to Basket Test,CS-46,10063,Test case,PASSED,CS,Cloth Shop,software,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Medium,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,09/May/23 1:50 PM,14/May/23 2:27 PM,14/Sep/23 11:10 PM,,"T*est objective:* To verify that the user is able to add a product to the basket successfully.

*Test steps:*

# Load the product subpage.
# Click on the ""Add to Basket"" button.
# Navigate to the basket subpage. 

*Expected result:* The product should be added to the basket and the basket subpage should reflect the added product. ",Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Managing User Basket,,10042,Managing User Basket,No Category
Load Basket Page Test,CS-45,10062,Test case,PASSED,CS,Cloth Shop,software,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Medium,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,08/May/23 10:59 PM,19/Jun/23 4:00 PM,19/Jun/23 3:59 PM,,"*Test objective:* To verify that the Basket Page loads correctly

*Test steps:*

# Open the Main Page in a web browser.
# Click on “Basket“ link in the navigation bar.
# Wait for the Basket Page to load completely.

*Expected result:* Basket Page is displayed correctly",Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Managing User Basket,,10042,Managing User Basket,No Category
Create Account Test,CS-44,10061,Test case,Closed,CS,Cloth Shop,software,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Medium,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,08/May/23 9:21 PM,12/Sep/23 12:48 PM,12/Sep/23 12:48 PM,,"*Test objective:* To verify if a new user account can be successfully created on the website.

*Test steps:*

# Launch the website
# Make sure that you are not logged in
# Click on the ""Create Account"" link on the navigation bar.
# Enter valid information into all required fields on the account creation form.
# Submit the form by clicking the ""Create account"" button with a link.
# Verify that the user is redirected to the account page after successful account creation

*Expected result:*

* The user should be able to successfully create a new account on the website.",Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,User Account Creation,,10037,User Account Creation,Done
Load Create Account Subpage and check if it is linked Test,CS-43,10060,Test case,Closed,CS,Cloth Shop,software,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Medium,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,08/May/23 5:42 PM,14/May/23 11:30 AM,12/Sep/23 12:48 PM,,"*Test objective:* To verify that the Create Account subpage is present on the website and user can acces it

*Test steps:*

# Launch the website
# Make sure that you are not logged in
# Click on the ""Login"" link in the navigation bar
# Click on the “Create account“ button with a link
# Check if the Create Account subpage is loaded

*Expected result:* The Create Account subpage should be present on the website and should be loaded successfully.",Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,User Account Creation,,10037,User Account Creation,Done
Filter Logic Test,CS-42,10059,Test case,Closed,CS,Cloth Shop,software,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Medium,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,08/May/23 4:29 PM,14/May/23 11:29 AM,14/Sep/23 11:10 PM,,"*Test objective:* To verify if the filter logic is working properly and filtering products based on selected checkboxes and price range.

*Test steps:*

# Open the product catalog subpage
# Check some of the filter options (e.g. man, jeans, etc.)
# Select a price range
# Click on the 'Filter' button
# Verify that the products displayed on the page have been filtered based on the selected options and price range
# Check if the filtered products are displayed correctly, including their name, image, description, and price

*Expected result:* The products displayed on the page should be filtered based on the selected options and price range. The filtered products should be displayed correctly, including their name, image and price.",Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Product Filtering,,10034,Product Filtering,Done
Filter UI presence Test,CS-41,10058,Test case,Closed,CS,Cloth Shop,software,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Medium,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,08/May/23 4:26 PM,14/May/23 11:29 AM,14/Sep/23 11:10 PM,,"*Test objective:* To verify if the filter UI is present on the product catalog subpage 

*Test steps:*

# Navigate to the product catalog subpage
# Look for the filter UI on the page 

*Expected result:* The filter UI should be present on the product catalog subpage",Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Product Filtering,,10034,Product Filtering,Done
Load Product Catalog Subpage,CS-40,10057,Test case,Closed,CS,Cloth Shop,software,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Medium,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,08/May/23 4:12 PM,14/May/23 11:29 AM,12/Sep/23 1:10 PM,,"*Test objective:* To verify that the user can successfully load the product catalog subpage 

*Test steps:*

# Open the Main Page
# Click on the ""Cloth"" link in the navigation bar
# Wait for the product catalog subpage to load

*Expected result:* The product catalog subpage should load without any errors or delays",Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Product Catalog,,10029,Product Catalog,Done
User Logout Test,CS-39,10056,Test case,Closed,CS,Cloth Shop,software,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Medium,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,08/May/23 4:08 PM,14/May/23 11:27 AM,14/Sep/23 11:10 PM,,"*Test objective:* To verify that user can successfully logout from the website. 

*Test steps:*

# Navigate to the website and log in using valid username and password.
# Click on the logout link.
# Verify that the user is logged out.

*Expected result:* User should be successfully logged out of the website and should not be able to access any secure pages or features.",Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,User Authentication,,10024,User Authentication,Done
User Login Test,CS-38,10055,Test case,Closed,CS,Cloth Shop,software,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Medium,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,08/May/23 4:04 PM,14/May/23 11:27 AM,14/Sep/23 11:10 PM,,"*Test objective:* To verify that a registered user can successfully login to the website 

*Test steps:*

# Navigate to the login page
# Enter valid login credentials (username and password)
# Click on the login button 

*Expected result:* The user should be redirected to the account subpage of the website and a message with user username should be located on the navigation bat",Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,User Authentication,,10024,User Authentication,Done
 Login and Account subpages loading,CS-37,10054,Test case,Closed,CS,Cloth Shop,software,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Medium,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,08/May/23 4:01 PM,14/May/23 11:26 AM,14/Sep/23 11:10 PM,,"*Test objective:* To verify that the Login and Account subpages are loading without any errors or issues.

*Test steps:*

# Open the web application.
# Click on the ""Login"" link in the navigation bar.
# Check that the Login subpage is loaded successfully and without any errors.
# Click on the ""Create Account"" link in the Login subpage.
# Check that the Account subpage is loaded successfully and without any errors.

*Expected result:*

# The web application loads successfully.
# The ""Login"" link in the navigation bar is clickable.
# The Login subpage is loaded successfully and without any errors.
# The ""Create Account"" link in the Login subpage is clickable.
# The Account subpage is loaded successfully and without any errors.",Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,User Authentication,,10024,User Authentication,Done
Nagivation Bar Loading Test,CS-36,10053,Test case,Closed,CS,Cloth Shop,software,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Medium,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,08/May/23 3:12 PM,14/May/23 11:25 AM,14/Sep/23 11:10 PM,,"*Test objective:* To verify that the navigation bar has loaded on the webpage.

*Test steps:*

# Open the web page in a web browser.
# Look for the navigation bar element on the webpage.
# Verify that the navigation bar is visible and displayed correctly.

*Expected result:* The navigation bar should be visible and displayed correctly on the webpage.",Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Main Page and Navigation Bar Creation,,10020,Main Page and Navigation Bar Creation,Done
Load Main Page Test,CS-35,10052,Test case,Closed,CS,Cloth Shop,software,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Medium,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,08/May/23 3:12 PM,14/May/23 11:25 AM,14/Sep/23 11:10 PM,,"*Test objective:* To verify that the main page loads correctly

*Test steps:*

# Open the main page in a web browser.
# Wait for the main page to load completely.

*Expected result:* main page is displayed correctly",Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Main Page and Navigation Bar Creation,,10020,Main Page and Navigation Bar Creation,Done
Add Functionality to Product Subpage Template,CS-33,10050,New Feature,Done,CS,Cloth Shop,software,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Medium,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,07/May/23 2:00 PM,31/May/23 5:49 PM,14/Sep/23 11:10 PM,31/May/23 5:49 PM,"Add all necessary functionalities to the product subpage template, such as the ability to add the product to the basket.",Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Subpage for Every Product,,10047,Subpage for Every Product,Done
Modify Product Templates on Products Subpage,CS-32,10049,New Feature,Done,CS,Cloth Shop,software,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Medium,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,07/May/23 2:00 PM,31/May/23 5:49 PM,14/Sep/23 11:10 PM,31/May/23 5:49 PM,Modify the product templates on the main products subpage to include a link to the corresponding product subpage.,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Subpage for Every Product,,10047,Subpage for Every Product,Done
Create Product Subpage Template,CS-31,10048,New Feature,Done,CS,Cloth Shop,software,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Medium,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,07/May/23 2:00 PM,31/May/23 6:26 PM,14/Sep/23 11:10 PM,31/May/23 5:49 PM,Create a template for the subpages that will display individual product information. Ensure the template includes all necessary information and sections for a complete product page,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Subpage for Every Product,,10047,Subpage for Every Product,Done
Subpage for Every Product,CS-30,10047,Epic,In Progress,CS,Cloth Shop,software,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Medium,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,07/May/23 1:48 PM,27/Jun/23 4:50 PM,12/Sep/23 12:30 PM,,Create subpage for every product with its detail infromation,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,,Subpage for every product,,,In Progress
Remove Product from Basket,CS-29,10046,New Feature,In Progress,CS,Cloth Shop,software,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Medium,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,07/May/23 1:39 PM,27/Jun/23 4:54 PM,27/Jun/23 4:54 PM,,"Add the functionality to allow users to remove products from their basket. When a user selects the ""Bin"" icon under a product in their basket, the item will be removed from their basket.",Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Managing User Basket,,10042,Managing User Basket,In Progress
Link Basket Page to Main Page,CS-28,10045,New Feature,Done,CS,Cloth Shop,software,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Medium,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,07/May/23 1:39 PM,27/Jun/23 4:54 PM,27/Jun/23 4:54 PM,27/Jun/23 4:54 PM,"Add a link to the newly created basket page in the navigation bar, making it easily accessible for users.",Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Managing User Basket,,10042,Managing User Basket,Done
Add Product to Basket,CS-27,10044,New Feature,Done,CS,Cloth Shop,software,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Medium,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,07/May/23 1:39 PM,27/Jun/23 4:54 PM,27/Jun/23 4:54 PM,27/Jun/23 4:54 PM,"Add the functionality that allows users to add products to their basket. When a user selects the ""Add to basket"" icon on a product page, the item will be added to their basket.",Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Managing User Basket,,10042,Managing User Basket,Done
Create Basket Page,CS-26,10043,New Feature,Done,CS,Cloth Shop,software,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Medium,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,07/May/23 1:39 PM,19/Jun/23 3:59 PM,19/Jun/23 3:59 PM,14/May/23 11:21 AM,Create a new Page specifically for a user's basket. The page will display a list of all the items that the user has added to their basket.,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Managing User Basket,,10042,Managing User Basket,Done
Managing User Basket,CS-25,10042,Epic,In Review,CS,Cloth Shop,software,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Medium,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,07/May/23 1:19 PM,14/May/23 2:36 PM,14/Sep/23 11:06 PM,,Create ability for user to manage his basket,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,,Managing User Basket,,,In Progress
Add User to Database,CS-24,10041,New Feature,Done,CS,Cloth Shop,software,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Medium,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,07/May/23 1:13 PM,07/May/23 1:14 PM,14/Sep/23 11:10 PM,07/May/23 1:13 PM,"After validating the user input, the new user account needs to be added to the database. This task involves creating the necessary code to add the new user account to the database so that they can log in and access the website.",Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,User Account Creation,,10037,User Account Creation,Done
Validate User Input,CS-23,10040,New Feature,Done,CS,Cloth Shop,software,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Medium,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,07/May/23 1:13 PM,14/May/23 6:50 PM,14/Sep/23 11:10 PM,07/May/23 1:13 PM,"In this task, you need to ensure that the user inputs valid information while creating their account. This means checking if the user has entered all required information and that the entered information is in the correct format. ",Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,User Account Creation,,10037,User Account Creation,Done
"Link ""Create Account"" Subpage with ""Login"" subpage",CS-22,10039,New Feature,Done,CS,Cloth Shop,software,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Medium,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,07/May/23 1:11 PM,14/May/23 11:30 AM,14/Sep/23 11:10 PM,07/May/23 1:12 PM,"This task involves linking the newly created ""Create Account"" subpage with the “Login“ subpage by placing button “Creating account“",Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,User Account Creation,,10037,User Account Creation,Done
"Create ""Create Account"" Subpage",CS-21,10038,New Feature,Done,CS,Cloth Shop,software,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Medium,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,07/May/23 1:11 PM,14/May/23 11:30 AM,14/Sep/23 11:10 PM,07/May/23 1:13 PM,"This task involves creating a new subpage for the website where users can create their account. The subpage should have fields for users to enter their name, email and password.",Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,User Account Creation,,10037,User Account Creation,Done
User Account Creation,CS-20,10037,Epic,Done,CS,Cloth Shop,software,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Medium,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,07/May/23 1:11 PM,08/May/23 9:21 PM,12/Sep/23 12:41 PM,07/May/23 1:11 PM,Implement ability for user to create an account,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,,User Account Creation,,,Done
Filter Logic,CS-19,10036,New Feature,Done,CS,Cloth Shop,software,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Medium,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,07/May/23 1:05 PM,14/May/23 11:29 AM,14/Sep/23 11:10 PM,07/May/23 1:05 PM,Develop the backend logic to manage the filter options that are available to the user.,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Product Filtering,,10034,Product Filtering,Done
Product Filter User Interface (UI),CS-18,10035,New Feature,Done,CS,Cloth Shop,software,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Medium,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,07/May/23 1:05 PM,14/May/23 11:29 AM,14/Sep/23 11:10 PM,07/May/23 1:05 PM,Design and create a user interface for the product filter options on the product subpage. This should include selecting filter criteria and applying filters.,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Product Filtering,,10034,Product Filtering,Done
Product Filtering,CS-17,10034,Epic,Done,CS,Cloth Shop,software,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Medium,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,07/May/23 1:04 PM,08/May/23 4:29 PM,14/Sep/23 11:10 PM,07/May/23 1:05 PM,Implement ability that would allow user to filter products on a product subpage,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,,Product Filtering,,,Done
Create Product Template for Dynamic Display,CS-16,10033,New Feature,Done,CS,Cloth Shop,software,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Medium,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,07/May/23 12:58 PM,07/May/23 1:01 PM,14/Sep/23 11:10 PM,07/May/23 12:58 PM,Develop a product template that will dynamically create product displays using data from the database.,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Product Catalog,,10029,Product Catalog,Done
Add Products Table to the Database,CS-15,10032,New Feature,Done,CS,Cloth Shop,software,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Medium,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,07/May/23 12:58 PM,07/May/23 1:00 PM,12/Sep/23 12:39 PM,07/May/23 12:58 PM,"Create a database table for storing product details, such as name, description, price, and image.",Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Product Catalog,,10029,Product Catalog,Done
Link Products Subpage with Main Page in Navigation Bar,CS-14,10031,New Feature,Done,CS,Cloth Shop,software,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Medium,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,07/May/23 12:58 PM,14/May/23 11:29 AM,12/Sep/23 1:11 PM,07/May/23 12:58 PM,Add link to the Products subpage in a navigation bar.,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Product Catalog,,10029,Product Catalog,Done
Create Products Subpage,CS-13,10030,New Feature,Done,CS,Cloth Shop,software,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Medium,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,07/May/23 12:58 PM,14/May/23 11:28 AM,12/Sep/23 1:11 PM,07/May/23 12:58 PM,Design and develop a subpage for displaying products on the website.,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Product Catalog,,10029,Product Catalog,Done
Product Catalog,CS-12,10029,Epic,Done,CS,Cloth Shop,software,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Medium,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,07/May/23 12:53 PM,26/May/23 2:18 PM,12/Sep/23 12:39 PM,07/May/23 12:53 PM,The Product Catalog feature allows the users to view all available products on the website.,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,,Product Catalog,,,Done
Create Logout Functionality,CS-11,10028,New Feature,Done,CS,Cloth Shop,software,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,High,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,07/May/23 12:49 PM,14/May/23 11:27 AM,14/Sep/23 11:10 PM,07/May/23 12:50 PM,"Add a logout button to the navigation bar or account page, and implement the logout functionality to allow users to safely log out of their accounts.",Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,User Authentication,,10024,User Authentication,Done
Implement User Authentication,CS-10,10027,New Feature,Done,CS,Cloth Shop,software,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,High,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,07/May/23 12:49 PM,14/May/23 2:18 PM,14/Sep/23 11:10 PM,07/May/23 12:49 PM,"Create a user table in the MySQL database and implement authentication logic in the web application to only allow registered users to log in. Upon successful authentication, users will be redirected to account subpage",Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,User Authentication,,10024,User Authentication,Done
